categoryOrder,category,name,description,price,fileName,image_url,slug,isNew,isDeleted
1,Proteins,Lamb eggplant meatballs,"Juicy lamb blended with roasted eggplant and aromatic spices, baked until tender. Gluten free.

Add to your meal with items from our veggie and grain sections",1,lamb eggplant meatballs.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/lamb%20eggplant%20meatballs.png?alt=media&token=5061fae3-aa48-4484-b255-794e691946e8,,FALSE,FALSE
1,Proteins,Santa Maria tri tip,"Marinated in traditional Santa Maria spices and grilled over open flame for bold, smoky depth. Gluten free

Add to your meal with items from our veggie and grain sections",1,santa maria tri tip.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Santa%20Maria%20Tri%20tip.png?alt=media&token=e3a3c44c-e4c1-40d5-ba3b-17e884c13ad5,,FALSE,FALSE
1,Proteins,Baked chicken tenders,"Crispy oven baked chicken tenders made with organic whole chicken breast. Fresh and unprocessed. Gluten, Egg

Add to your meal with items from our veggie and grain sections",1,chicken tenders.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chicken%20tenders.png?alt=media&token=d6f279be-74e9-407d-a8a7-85370b3a8369,,FALSE,FALSE
2,Veggies,Kale and sweet potatoes,"Hearty kale tossed with roasted sweet potatoes for a balanced, nutrient-dense side.Vegan, Gluten free",1,kale and sweetpotatoes.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/kale%20and%20sweet%20potato.png?alt=media&token=96774363-f90f-4f05-8160-f952008b1475,,FALSE,FALSE
2,Veggies,Roasted sage delicata squash,"Sweet delicata squash roasted with fresh sage for warm, seasonal flavor. Vegan, Gluten free",1,Roasted Sage Delicata Squash.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Roasted%20Sage%20Delicata%20Squash.png?alt=media&token=fae950d4-8d09-4bc6-a299-0c1a6e2929c2,,FALSE,FALSE
2,Veggies,Roasted sweet potatoes,"Perfectly roasted sweet potatoes with a soft center and caramelized exterior. Vegan, Gluten free",1,roasted sweet potatoes.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Roasted%20sweet%20potatoes.png?alt=media&token=c3392c76-51c9-4544-9dae-975b57a7ecff,,FALSE,FALSE
2,Veggies,Sesame green beans,"Crisp green beans tossed with toasted sesame oil. Vegan, Gluten free, Sesame",1,sesame green beans.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Sesame%20green%20beans.png?alt=media&token=259a27cc-57e9-4b64-acba-62bdc65a56ea,,FALSE,FALSE
2,Veggies,Turmeric cauliflower,"Roasted cauliflower infused with warming turmeric and gentle spice. Vegan, Gluten free",1,turmeric cauliflower.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Turmeric%20cauliflower.png?alt=media&token=d2605ac9-cfc7-456f-aca1-1461affe103a,,FALSE,FALSE
2,Veggies,Grilled eggplant,"Char-grilled eggplant with smoky depth and a silky finish. Vegan, Gluten free",1,grilled eggplant,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/grilled%20eggplant.png?alt=media&token=c6bf4273-6f69-4180-9ca6-585022141bd3,,FALSE,FALSE
2,Veggies,Roasted brocoolli,"Oven-roasted until caramelized and crisp at the edges. Vegan, Gluten free",1,roasted broccoli,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/roasted%20broccoli.jpg?alt=media&token=1d055642-e92e-43ca-b70a-83fefb4363c2,,FALSE,FALSE
2,Veggies,Roasted brussel sprouts,"Crisp, golden Brussels sprouts with deep roasted flavor. Vegan, Gluten free",1,roasted brussel sprouts,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/brussel%20sprouts.png?alt=media&token=3dae79b0-b464-46fb-95f2-dc7f037f9f1d,,FALSE,FALSE
2,Veggies,Roasted carrots,"Slow-roasted carrots with natural sweetness and golden edges. Vegan, Gluten free",1,roasted carrots.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/carrots.png?alt=media&token=aa6c417e-e5c9-4b80-ad6b-e00ab8e13cad,,FALSE,FALSE
2,Veggies,Half perfect avocado,"Ripe, creamy avocado served simply. Vegan, Gluten free",1,half perfect avocado,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/half%20perfect%20avocado.png?alt=media&token=faa5e468-0c84-4ce2-9806-786d0df7d386,,FALSE,FALSE
2,Veggies,Sauteed greens,"Kale, chard & spinach with shallots, lemon, and sea salt. Gluten free, vegan.",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/sauteed%20greens.png?alt=media&token=3ff90829-ae09-49af-83e7-04dadbefe015,,FALSE,FALSE
2,Veggies,Beets & Citrus Vinaigrette,"Beets with olive oil, sea salt, shallots, maple syrup, orange juice, and balsamic vinegar. Gluten free, Vegan",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Beets%20%26%20Citrus%20Vinaigrette.png?alt=media&token=0d230d04-c60d-4dcd-a0b1-98c3882bca64,,FALSE,FALSE
2,Veggies,Baked Japanese Sweet Potato,"Baked Japanese sweet potato with miso tahini. Gluten free, soy, sesame, vegan.",1,,/images/baked-japanese-sweet-potato.jpg,,FALSE,FALSE
2,Veggies,Braised Gigante Beans,"Braised gigante beans with nut-free pesto. Gluten free, dairy, vegetarian.",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Braised%20Gigante%20Beans.png?alt=media&token=9dbf1cc6-606a-4d45-9d33-4c1e055a2ce9,,FALSE,FALSE
2,Veggies,Cauliflower mash with parmesan ,"Roasted cauliflower puréed with garlic, extra virgin olive oil, butter,a touch of cream, aged parmesan. Vegetarian, Gluten free, Dairy ",,cauliflower mash,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/mashed%20cauliflower.png?alt=media&token=7114da3a-ebf3-46b4-9821-dd7b6e4d16a3,,,
2,Veggies,"Lentils with celery, carrots and herbs","Simmered green lentils, carrots, celery, with extra virgin olive oil. Vegan, Gluten free",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/lentils.png?alt=media&token=cf8030fc-da70-49bc-8a6a-68b6bf40f1b6,,,
3,Grains ,Couscous salad,"Light couscous tossed with fresh herbs and bright flavors. Vegan, Gluten",1,couscous salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/couscous%20salad.png?alt=media&token=0730f502-ee0f-4d0b-91db-da00a6f9d3f8,,FALSE,FALSE
3,Grains,Miracle garlic noodles,"Silky miracle noodles (low calorie konjac flour) saut√©ed with garlic, chili oil, tamari and savory umami notes. Vegan, Gluten, Soy ",1,garlic noodles.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/garlic%20noodles.png?alt=media&token=7099e5f3-dea6-4f01-8e57-ba445884e784
3,Grains,Coconut rice,"Fragrant rice gently cooked with coconut milk. Vegan, Gluten free, Treenut ",1,coconut rice.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/coconut%20rice.png?alt=media&token=81d1d79d-d7a2-401f-be90-1109b7cbddd1,,FALSE,FALSE
3,Grains,Steamed brown rice,"Nutty, hearty brown rice, simple and grounding. Vegan, Gluten free",1,steamed brown rice.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/steamed%20brown%20rice.png?alt=media&token=439e1a92-7387-4b3c-8643-19e2e72b7e7d,,FALSE,FALSE
3,Grains,Steamed jasmine rice,"Light, fluffy jasmine rice steamed to perfection. Vegan, Gluten free",1,steamed jasmine rice,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/jasmine%20rice.png?alt=media&token=a655f93d-0ea0-4bcc-9e38-9e83a4cadf0b,,FALSE,FALSE
3,Grains,Turmeric rice,"Golden rice infused with turmeric for warmth and color. Vegan, Gluten free",1,turmeric rice.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/turmeric%20rice.png?alt=media&token=7a5978fb-0b25-4768-a1cc-3dceaec92272,,FALSE,FALSE
3,Grains ,Macaroni & Cheese,"Elbow pasta in a rich aged cheddar sauce. Vegetarian, Gluten, Dairy ",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/mac%20and%20cheese.png?alt=media&token=b6e55904-2c37-4813-8891-e0038378ea81,,FALSE,FALSE
3,Grains ,Quinoa Pilaf,"Quinoa pilaf with fresh herbs. Vegan, Gluten free",1,,/images/quinoa-pilaf.jpg,,FALSE,FALSE
4,Naan Pizza,Margherita naanza,"Tomato sauce, mozzarella, and fresh basil on warm naan.  Vegetarian, Gluten free, Dairy ",1,magherita naan pizza,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/cheese%20naanza.png?alt=media&token=a654f22e-1abe-43e7-9228-13317d35dbb5,,FALSE,FALSE
4,Naan Pizza,Veggie curry naan pizza,"Coconut curry sauce topped with vegetables for bold, warming flavor. Vegetarian, Gluten free, Dairy ",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Curry%20naanza.png?alt=media&token=4163a20d-9b2a-4374-b906-d3eadf509d8b,,FALSE,FALSE
4,Naan Pizza,Green goddess veggie naanza,"Creamy green goddess sauce, vegetables, and melty cheese. Vegetarian, Gluten free, Dairy ",1,green goddess veggie naan pizza,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/green%20goddess%20naan%20pizza.png?alt=media&token=699f566a-9a56-4a55-ab9c-e87a0ef14347,,FALSE,FALSE
4,Naan Pizza,Roasted vegetable & pesto naanza,"Seasonal roasted vegetables layered with basil pesto and mozzarella.  Vegetarian, Gluten free, Dairy ",1,Roasted Vegetable & Pesto Naan Pizza.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/roasted%20vegetables%20and%20pesto%20pizza.png?alt=media&token=fd7cdf06-bbb9-45a6-a942-d65e20a47de3,,FALSE,FALSE
4,Naan Pizza,Tandoori paneer naanza,"Yukon potato, garam masala tomato sauce, yogurt, bell peppers, red onions, cilantro, mozzarella on naan.  Vegetarian, Gluten free, Dairy ",1,,/images/tandoori-paneer-naanza.jpg,,FALSE,FALSE
4,Naan Pizza,Butter chicken naanza,"Rich butter chicken sauce with tender chicken on warm naan. Gluten, Dairy ",1,,/images/butter-chicken-naanza.jpg,,FALSE,FALSE
5,Soups and Curries,Yellow curry with tofu,"Creamy yellow curry with tender tofu and vegetables. Vegan, Gluten Free, Soy",1,yellow curry with tofu.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/yellow%20curry%20with%20tofu.png?alt=media&token=674d625f-5bb4-4d89-af0b-b6a729f7fd5b,,FALSE,FALSE
5,Soups and Curries,Chicken tikka,"Spiced chicken in a rich, warming tikka sauce. Gluten free, Dairy ",1,chicken tikka soup.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chicken%20tikka.png?alt=media&token=f78d0743-8731-45e8-93d0-b62e1b19c1dc,,FALSE,FALSE
5,Soups and Curries,Green curry with shrimp,"Aromatic green curry with shrimp and coconut milk. Gluten free, Shellfish",1,green curry with shrimp.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/green%20curry%20with%20shrimp.png?alt=media&token=9b7db88a-cc19-463b-a0ce-3f30f214e3e3,,FALSE,FALSE
5,Soups and Curries,Lentil soup,"Hearty lentils cooked with aromatic vegetables and spices. Vegan, Gluten free",1,lentil soup.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/lentil%20soup.png?alt=media&token=de3de9cd-ab47-4453-8ee1-62a5da8a4471,,FALSE,FALSE
5,Soups and Curries,Nana's chicken noodle soup,"Classic comfort. Tender chicken, noodles, and rich broth. Gluten, Egg",1,nana's chicken noodle soup.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/nana_s%20chicken%20noodle%20soup.png?alt=media&token=a11cb5e7-cb73-4bfc-9226-db20f3d1a926,,FALSE,FALSE
5,Soups and Curries,Bone broth,"Slow-simmered, collagen-rich bone broth. Gluten free",1,bone broth.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/bone%20broth.png?alt=media&token=88f8ad0f-c410-4f41-995e-43649c267e33,,FALSE,FALSE
5,Soups and Curries,Immunity Boosting Vegetable Broth,"Nourishing vegetable broth packed with immunity-boosting ingredients. Vegan, Gluten free",1,bone broth.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/bone%20broth.png?alt=media&token=88f8ad0f-c410-4f41-995e-43649c267e33,,FALSE,FALSE
5,Soups and Curries,Veggie Pho ,"Traditional pho broth with rice noodles, bean sprouts, and Thai basil. Vegan, Gluten free",1,update photo,/images/pho-broth.jpg,,FALSE,FALSE
5,Soups and Curries,Chickpea Avgolemono,"Greek-inspired lemon soup with chickpeas. Vegan, Gluten free",1,chickpea avgolemono,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/chickpea%20avgolemono.jpg?alt=media&token=d2706905-0b99-48aa-843b-6483932f2d15,,FALSE,FALSE
5,Soups and Curries,Protein Powered Creamy Tomato Basil,"Creamy tomato basil soup with added protein. Vegetarian, Gluten free, Dairy",1,,/images/protein-tomato-basil.webp,,FALSE,FALSE
5,Soups and Curries,Chicken & Rice,Comforting chicken and rice soup. Gluten free,1,,/images/chicken-and-rice.webp,,FALSE,FALSE
6,Salads,Little Gem lettuce salad,"Little Gem Lettuce, watermelon radish, persian cucumbers, chives, parmesan with a lemon dill vinaigrette.  
Vegetarian, Gluten free, Dairy.

Add to your meal with an item from our protein section.",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/little%20gem.png?alt=media&token=3665323a-181f-4f5e-8084-baf4b3cf7c58,,,
6,Salads,Baby Kale salad,"Baby kale with romaine, shredded carrots, cherry tomatoes, avocado, and ginger carrot vinaigrette. Vegan, Gluten free

Add to your meal with an item from our protein section.",1,,/images/baby-kale-salad.jpeg,,FALSE,FALSE
6,Salads,Quinoa salad,"Quinoa with cucumber, tomatoes, medjool dates, mint, feta, crispy chickpeas, and toasted cumin vinaigrette. Vegetarian, Gluten free, Dairy

Add to your meal with an item from our protein section.",1,,/images/quinoa-salad.webp,,FALSE,FALSE
6,Salads,Caesar salad,"Romaine, shaved parmesan, homemade croutons and yogurt ceasar dressing.Vegetarian, Gluten (Croutons), Dairy 

Add to your meal with an item from our protein section.",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/ceasar%20saald.png?alt=media&token=b6ce36b0-35d4-4332-8169-7866bfd00716,,FALSE,FALSE
6,Salads,Crunchy Asian salad,"Shredded napa cabbage, red cabbage, carrots, cucumber, scallions finished with a sesame-ginger soy vinaigrette and fresh cilantro. Vegan, Gluten free, Soy

Add to your meal with an item from our protein section.",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Crunchy%20asian%20salad.png?alt=media&token=9557890e-4c05-4b5c-aef5-8e94a70f61ab,,,
6,Salads,Chopped Thai salad,"Chopped romaine, cabbage, carrots, bell peppers, cucumber,fresh herbs, scallions, ginger, and lime sunbutter dressing. Vegan, Gluten free

Add to your meal with an item from our protein section.",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Thai-Chopped-Salad.jpg?alt=media&token=3ecddd1a-0645-4159-b3c6-5e383c2337ca,,,
6,Salads,Macrobiotic salad,"Kale, carrots, cucumber, red cabbage, pickled ginger, green beans, avocado, miso dressing. Vegan, Gluten free, Soy, Sesame

Add to your meal with an item from our protein section.",1,macrobiotic salad bowl.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/macrobiotic%20salad.png?alt=media&token=26e246b8-7965-4533-b1d0-38a8231a22d3,,FALSE,FALSE
6,Salads,Ponzu salmon noodle salad,"Cold noodles tossed with ponzu, salmon, and crisp vegetables. Gluten, Fish, Soy ",1,Ponzu Salmon Noodle Salad,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/ponzu%20salmon%20noodle%20salad.png?alt=media&token=cba88b68-3f9c-492b-873c-a0dfe922ff33,,FALSE,FALSE
6,Salads,Salmon sweet potato detox bowl,"Roasted sweet potatoes, salmon, greens, and clean, vibrant flavors. Gluten free, Fish ",1,Salmon Sweet Potato Detox Bowl,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Salmon%20Sweet%20Potato%20Detox%20Bowl.png?alt=media&token=5aac1497-9738-4bed-9a1f-57b9f4a8f7ae,,FALSE,FALSE
6,Salads,Thai tofu salad,"Crispy Tofu, Chopped romaine, cabbage, carrots, bell peppers, cucumber,fresh herbs, scallions, ginger soy lime dressing.  Vegan, Gluten free, Soy",1,Thai Tofu Salad,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/thai%20tofu%20salad.png?alt=media&token=69f00ffe-354f-44aa-9434-de89231068a9,,FALSE,FALSE
6,Salads,Vegan taco salad,"Chipotle black beans, roasted corn, cherry tomatoes, avocado, romaine, cilantro lime vinaigrette. Vegan, Gluten free",1,vegan taco salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/vegan%20taco%20salad.png?alt=media&token=6537f325-e4c1-4bee-b6d6-1a35a7b27ef6,,FALSE,FALSE
6,Salads,Wild salmon salad,"Wild salmon served over fresh greens, pickled red onions, crunchy carrots, toasted pumpkin seeds. Gluten free, Fish ",1,Wild salmon salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Wild%20salmon%20salad.png?alt=media&token=eaa2ac8a-fea0-4201-a57c-ae79b0ad53da,,FALSE,FALSE
6,Salads,Beet Salad,"Tender roasted beets tossed with bright, fresh accents. Vegan, Gluten free",1,beet salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/beet%20salad.png?alt=media&token=a4fcaa37-429a-4da1-90b2-c16f734b2ac6,,FALSE,FALSE
6,Salads,Quinoa salad,"Quinoa with cucumber, tomatoes, medjool dates, mint, feta, crispy chickpeas, and toasted cumin vinaigrette.Vegetarian, Gluten free, dairy",1,,/images/quinoa-salad.webp,,FALSE,FALSE
6,Salads,Nicoise salad,"Green beans, radish, tomato, potato, gigante beans, hard-boiled egg, olives, and lemon vinaigrette. Vegetarian, Gluten free, Egg",1,,/images/nicoise-salad.png ,,FALSE,FALSE
7,Bowls and wraps,Beet poke bowl,"Sesame soy marinated beets, edamame, pickled carrots, cucumbers, avocado, sriracha aioli. Vegan, Gluten free",,beet poke bowl,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/beet%20poke%20bowl.jpg?alt=media&token=c4866236-7c06-4bc7-a548-230b7a5c5e8c,,,
7,Bowls and wraps,Rotisserie chicken bowl,"Rotisserie Chicken, marinated feta & olives, cucumbers, tomatoes, pickled red onions, crispy chickpeas, quinoa pilaf, herb greek yogurt sauce. Gluten Free, Dairy",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/rotiserie%20chicken%20bowl.webp?alt=media&token=90526a17-bd6d-45a3-aa2b-50ff1c31449e,,,
7,Bowls and wraps,Spiced steak bowl,"Cumin spiced steak, roasted corn, black beans, cherry tomatoes, avocado, pickled onions, brown rice, cilantro lime yogurt sauce. Gluten free, Dairy ",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/spicy%20steak%20bowl.png?alt=media&token=b8f4056e-3fd1-47a0-b583-30ef8eb779c5,,,
7,Bowls and wraps,Seasame tofu noodle bowl,"Sesame tofu, chilled noodles, shredded carrots, julienned bell peppers, edamame, broccoli, scallions. Vegan, Gluten free, Soy, Sesame",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/sesame%20tofu%20noodle%20bowl.png?alt=media&token=4c3c57a3-a806-43b1-b182-b151401b7751,,,
7,Bowls and wraps,Chipotle Chicken Wrap,"Grilled chicken, shredded cabbage, roasted corn, avocado, pico de gallo, cilantro yogurt sauce. Gluten free, Dairy ",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chipotle-Chicken-Wrap.jpg?alt=media&token=b20afdee-6be8-45dd-9115-9e8d86b2e2b0,,,
7,Bowls and wraps,Harissa spiced chickpea wrap,"Harissa spiced chickpeas, roasted eggplant, cucumber, greens, tahini yogurt. Vegetarian, Gluten free, Dairy",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/harissa%20chick%20pea%20wrap.png?alt=media&token=88e9b4d2-c391-4bd5-b010-d5f594b431a0,,,
7,Bowls and wraps,Chimichurri steak wrap,"Chimichurri steak, arugula, pickled onion, chimichurri, garlic yogurt sauce. Gluten free, Dairy. ",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/chimichurri%20steak%20wrap.png?alt=media&token=899ec8fe-fc42-41d5-8412-c981d0e0ad1c,,,
7,Bowls and wraps,Sweet potato and avocado wrap,"Sweet potato, avocado, black beans, cabbage, toasted pumpkin seeds, cumin lime vinaigrette. Vegan, Gluten",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/sweetpotato%20avocado%20wrap.png?alt=media&token=e808abfc-e6d6-4d75-ae3c-1250dab39dfc,,,
8,Sauces,Greek yogurt herb,"Creamy Greek yogurt blended with fresh herbs and lemon. Vegetarian, Dairy ",1,greek yogurt herb,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/greek%20yogurt%20herb.png?alt=media&token=7ec25955-0d52-4407-8de3-e22f644791fd,greek-yogurt-herb,FALSE,FALSE
8,Sauces,Greek yogurt ranch ,"Protein packed ranch style dressing, fresh herbs, greek yogurt. Vegetarian, Dairy ",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/greek-yogurt-ranch.jpg?alt=media&token=078513dd-8633-4d10-b004-c2dac6d2dbae,,,
8,Sauces,Greek yogurt remoulade,"Greek yogurt,dijon mustard, capers, cornichons, lemon juice, garlic, fresh herbs, paprika. Vegetarian, Gluten free",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/greek%20yogurt%20remolaude.webp?alt=media&token=f6f6b02b-6498-475a-af55-5a5952b87bfd,,,
8,Sauces,Basil pesto,"Basil, garlic, pine nuts, parmesan, lemon juice, olive oil, salt. Vegetarian, Gluten free, Dairy, Tree nuts",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/basil%20pesto.png?alt=media&token=f51165f3-175a-4172-9f97-6847beb31add,,,
8,Sauces,Basil nut-free pesto,"Basil, garlic, sunflower seeds, parmesan, lemon juice, olive oil, salt. Vegetarian, Gluten free, Dairy",,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/basil%20nut%20free%20pesto.png?alt=media&token=cde4fee3-70f5-4093-998a-a177134c756c,,,
8,Sauces,Chimichurri,"Bright herb sauce with parsley, garlic, and olive oil. Vegan, Gluten free",1,basil pesto.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/basil%20pesto.png?alt=media&token=84ad1c3e-3a62-4f12-964a-a68ef71f2337,basil-pesto,FALSE,FALSE
